,Movies,Year,Certificate,IMDB,Metascore,Votes,Gross,Runtime,Genre
509,Ice Age,(2002),PG,7.5,60        ,442254,"176,387,405",81 min,"
Animation, Adventure, Comedy            "
510,Gangs of New York,(2002),R,7.5,72        ,405954,"77,812,000",167 min,"
Crime, Drama            "
511,28 Days Later...,(2002),R,7.6,73        ,376899,"45,064,915",113 min,"
Drama, Horror, Sci-Fi            "
512,Men in Black II,(2002),PG-13,6.2,49        ,343700,"190,418,803",88 min,"
Action, Adventure, Comedy            "
513,Signs,(2002),PG-13,6.7,59        ,336930,"227,966,634",106 min,"
Drama, Mystery, Sci-Fi            "
514,The Ring,(2002),PG-13,7.1,57        ,321336,"129,128,133",115 min,"
Horror, Mystery            "
515,Equilibrium,(2002),R,7.4,33        ,311623,"1,203,974",107 min,"
Action, Drama, Sci-Fi            "
516,The Transporter,(2002),PG-13,6.8,51        ,284861,"25,296,447",92 min,"
Action, Crime, Thriller            "
517,Insomnia,(2002),R,7.2,78        ,275318,"67,355,513",118 min,"
Drama, Mystery, Thriller            "
518,Panic Room,(2002),R,6.8,65        ,259065,"96,397,334",112 min,"
Crime, Drama, Thriller            "
519,Red Dragon,(2002),R,7.2,60        ,252490,"93,149,898",124 min,"
Crime, Drama, Thriller            "
520,Phone Booth,(2002),R,7.0,56        ,250853,"46,566,212",81 min,"
Crime, Thriller            "
521,8 Mile,(2002),R,7.1,77        ,249775,"116,724,075",110 min,"
Drama, Music            "
522,Resident Evil,(2002),R,6.7,33        ,247571,"40,119,709",100 min,"
Action, Horror, Sci-Fi            "
523,Road to Perdition,(2002),R,7.7,72        ,246870,"104,454,762",117 min,"
Crime, Drama, Thriller            "
524,Chicago,(2002),PG-13,7.2,81        ,215966,"170,687,518",113 min,"
Comedy, Crime, Musical            "
525,Die Another Day,(2002),PG-13,6.1,56        ,205166,"160,942,139",133 min,"
Action, Adventure, Thriller            "
526,Blade II,(2002),R,6.7,52        ,199926,"82,348,319",117 min,"
Action, Fantasy, Horror            "
527,A Walk to Remember,(2002),PG,7.4,35        ,199365,"41,227,069",101 min,"
Drama, Romance            "
528,Austin Powers in Goldmember,(2002),PG-13,6.2,62        ,195614,"213,307,889",94 min,"
Action, Adventure, Comedy            "
529,Adaptation.,(2002),R,7.7,83        ,178592,"22,245,861",115 min,"
Comedy, Drama            "
530,Hero,(2002),PG-13,7.9,85        ,174010,"53,710,019",120 min,"
Action, Adventure, History            "
531,xXx,(2002),PG-13,5.9,48        ,173111,"142,109,382",124 min,"
Action, Adventure, Thriller            "
532,About a Boy,(2002),PG-13,7.0,75        ,172798,"41,385,278",101 min,"
Comedy, Drama, Romance            "
533,25th Hour,(2002),R,7.6,68        ,169725,"13,060,843",135 min,"
Drama            "
534,Lilo & Stitch,(2002),PG,7.2,73        ,168631,"145,794,338",85 min,"
Animation, Adventure, Comedy            "
535,Punch-Drunk Love,(2002),R,7.3,78        ,147823,"17,844,216",95 min,"
Comedy, Drama, Romance            "
536,Mr. Deeds,(2002),PG-13,5.8,24        ,136377,"126,293,452",96 min,"
Comedy, Romance            "
537,The Scorpion King,(2002),PG-13,5.5,45        ,130440,"91,047,077",92 min,"
Action, Adventure, Fantasy            "
538,We Were Soldiers,(2002),R,7.2,65        ,130226,"78,122,718",138 min,"
Action, Drama, History            "
539,The Count of Monte Cristo,(2002),PG-13,7.8,61        ,129034,"54,234,062",131 min,"
Action, Adventure, Drama            "
540,Reign of Fire,(2002),PG-13,6.2,39        ,126415,"43,061,982",101 min,"
Action, Adventure, Fantasy            "
541,The Hours,(2002),PG-13,7.5,80        ,124508,"41,675,994",110 min,"
Drama, Romance            "
542,John Q,(2002),PG-13,7.1,30        ,124016,"71,756,802",116 min,"
Crime, Drama, Thriller            "
543,About Schmidt,(2002),R,7.1,85        ,122439,"65,016,287",125 min,"
Comedy, Drama            "
544,Irreversible,(2002),Not Rated,7.4,51        ,120243,"753,501",97 min,"
Crime, Drama, Mystery            "
545,My Big Fat Greek Wedding,(2002),PG,6.6,62        ,119790,"241,438,208",95 min,"
Comedy, Drama, Romance            "
546,The Time Machine,(2002),PG-13,6.0,42        ,118497,"56,684,819",96 min,"
Action, Adventure, Sci-Fi            "
547,Infernal Affairs,(2002),R,8.0,75        ,117873,"169,659",101 min,"
Action, Crime, Drama            "
548,One Hour Photo,(2002),R,6.8,64        ,114718,"31,597,131",96 min,"
Drama, Thriller            "
549,Two Weeks Notice,(2002),PG-13,6.1,42        ,107553,"93,354,851",101 min,"
Comedy, Romance            "
550,Talk to Her,(2002),R,7.9,86        ,104704,"9,284,265",112 min,"
Drama, Mystery, Romance            "
551,The Sum of All Fears,(2002),PG-13,6.4,45        ,104371,"118,907,036",124 min,"
Action, Drama, Thriller            "
552,Bend It Like Beckham,(2002),PG-13,6.6,66        ,104349,"32,543,449",112 min,"
Comedy, Drama, Romance            "
553,Van Wilder: Party Liaison,(2002),R,6.4,26        ,103455,"21,005,329",92 min,"
Comedy, Romance            "
554,Treasure Planet,(2002),PG,7.2,60        ,102842,"38,176,783",95 min,"
Animation, Adventure, Family            "
555,Sweet Home Alabama,(2002),PG-13,6.2,45        ,102546,"127,223,418",108 min,"
Comedy, Romance            "
556,Scooby-Doo,(2002),PG,5.1,35        ,99693,"153,288,182",86 min,"
Adventure, Comedy, Family            "
557,Ghost Ship,(2002),R,5.5,28        ,93930,"30,113,491",91 min,"
Horror            "
558,The Hot Chick,(2002),PG-13,5.5,29        ,89975,"35,081,594",104 min,"
Comedy, Fantasy            "
559,Ali G Indahouse,(2002),R,6.3,46        ,86160,,85 min,"
Comedy            "
560,Maid in Manhattan,(2002),PG-13,5.3,45        ,84168,"94,011,225",105 min,"
Comedy, Drama, Romance            "
561,Confessions of a Dangerous Mind,(2002),R,7.0,67        ,83717,"16,003,576",113 min,"
Biography, Comedy, Crime            "
562,Secretary,(2002),R,7.0,63        ,83434,"4,059,680",107 min,"
Comedy, Drama, Romance            "
563,Analyze That,(2002),R,5.9,37        ,82308,"32,122,249",96 min,"
Comedy, Crime            "
564,Frida,(2002),R,7.4,61        ,81410,"25,885,000",123 min,"
Biography, Drama, Romance            "
565,Unfaithful,(2002),R,6.7,63        ,80411,"52,801,000",124 min,"
Drama, Romance, Thriller            "
566,The Tuxedo,(2002),PG-13,5.4,30        ,79288,"50,547,998",98 min,"
Action, Comedy, Sci-Fi            "
567,Solaris,(2002),PG-13,6.2,65        ,78901,"14,973,382",99 min,"
Drama, Mystery, Romance            "
568,The Mothman Prophecies,(2002),PG-13,6.4,52        ,76096,"35,746,370",119 min,"
Drama, Horror, Mystery            "
569,Cabin Fever,(2002),R,5.7,56        ,74029,"21,158,188",93 min,"
Drama, Horror            "
570,Star Trek: Nemesis,(2002),PG-13,6.4,51        ,74001,"43,254,409",116 min,"
Action, Adventure, Sci-Fi            "
571,Collateral Damage,(2002),R,5.5,33        ,71941,"40,077,257",108 min,"
Action, Drama, Thriller            "
572,40 Days and 40 Nights,(2002),R,5.6,53        ,70602,"37,950,822",96 min,"
Comedy, Romance            "
573,Changing Lanes,(2002),R,6.5,69        ,66985,"66,818,548",98 min,"
Drama, Thriller            "
574,Spirit: Stallion of the Cimarron,(2002),G,7.2,52        ,65542,"73,280,117",83 min,"
Animation, Adventure, Drama            "
575,Windtalkers,(2002),R,6.1,51        ,65451,"40,914,068",134 min,"
Action, Drama, War            "
576,Sympathy for Mr. Vengeance,(2002),R,7.6,56        ,62672,"45,289",129 min,"
Crime, Drama, Thriller            "
577,Cube²: Hypercube,(2002),R,5.6,No Metascore found,62662,,94 min,"
Drama, Mystery, Sci-Fi            "
578,Spy Kids 2: Island of Lost Dreams,(2002),PG,5.2,66        ,60894,"85,846,429",100 min,"
Action, Adventure, Comedy            "
579,Showtime,(2002),PG-13,5.5,32        ,60571,"38,082,712",95 min,"
Action, Comedy, Crime            "
580,K-19: The Widowmaker,(2002),PG-13,6.7,58        ,59672,"35,168,966",138 min,"
Drama, History, Thriller            "
581,S1m0ne,(2002),PG-13,6.1,49        ,58716,"9,680,913",117 min,"
Comedy, Drama, Sci-Fi            "
582,Dog Soldiers,(2002),R,6.8,No Metascore found,55552,,105 min,"
Action, Horror, Thriller            "
583,The Sweetest Thing,(2002),R,5.2,32        ,54959,"24,718,164",84 min,"
Comedy, Romance            "
584,Murder by Numbers,(2002),R,6.2,50        ,53217,"31,945,749",115 min,"
Crime, Mystery, Thriller            "
585,Eight Legged Freaks,(2002),PG-13,5.4,53        ,52692,"17,322,606",99 min,"
Action, Adventure, Comedy            "
586,Queen of the Damned,(2002),R,5.3,30        ,52323,"30,336,800",101 min,"
Drama, Fantasy, Horror            "
587,The Santa Clause 2,(2002),G,5.6,48        ,51691,"139,236,327",104 min,"
Comedy, Family, Fantasy            "
588,Hart's War,(2002),R,6.3,49        ,50769,"19,076,815",125 min,"
Drama, War            "
589,Stuart Little 2,(2002),PG,5.5,66        ,50414,"64,956,806",77 min,"
Animation, Adventure, Comedy            "
590,The Rules of Attraction,(2002),R,6.7,50        ,49441,"6,532,619",110 min,"
Comedy, Drama, Romance            "
591,I Spy,(2002),PG-13,5.4,35        ,49230,"33,561,137",97 min,"
Action, Adventure, Comedy            "
592,Asterix & Obelix: Mission Cleopatra,(2002),PG,6.6,No Metascore found,49150,"3,115,188",107 min,"
Adventure, Comedy, Family            "
593,The Cat Returns,(2002),G,7.2,70        ,49125,,75 min,"
Animation, Adventure, Comedy            "
594,Orange County,(2002),PG-13,6.2,48        ,47008,"41,032,915",82 min,"
Comedy, Drama            "
595,Bubba Ho-Tep,(2002),R,7.0,57        ,45683,"2,003,420",92 min,"
Comedy, Fantasy, Horror            "
596,Bad Company,(2002),PG-13,5.6,37        ,44787,"30,160,161",116 min,"
Action, Comedy, Thriller            "
597,Far from Heaven,(2002),PG-13,7.3,84        ,43929,"15,854,988",107 min,"
Drama, Romance            "
598,Kung Pow: Enter the Fist,(2002),PG-13,6.2,14        ,43442,"16,033,556",81 min,"
Action, Comedy            "
599,The Good Girl,(2002),R,6.3,71        ,43117,"14,015,786",93 min,"
Drama, Romance            "
600,Lilya 4-Ever,(2002),R,7.8,82        ,42675,"181,655",109 min,"
Crime, Drama            "
601,Blood Work,(2002),R,6.4,64        ,42106,"26,199,517",110 min,"
Action, Crime, Drama            "
602,Ju-on: The Grudge,(2002),R,6.7,48        ,41278,"325,661",92 min,"
Horror            "
603,Dirty Pretty Things,(2002),R,7.3,78        ,40701,"8,111,360",97 min,"
Crime, Drama, Thriller            "
604,In America,(2002),PG-13,7.7,76        ,40406,"15,539,266",105 min,"
Drama            "
605,Enough,(I) (2002),PG-13,5.8,25        ,39878,"40,007,742",115 min,"
Crime, Drama, Thriller            "
606,Whale Rider,(2002),PG-13,7.5,80        ,39434,"20,779,666",101 min,"
Drama, Family            "
607,L'auberge espagnole,(2002),R,7.3,65        ,39403,"3,895,664",122 min,"
Comedy, Drama, Romance            "
608,High Crimes,(2002),PG-13,6.4,48        ,39162,"41,543,207",115 min,"
Crime, Drama, Mystery            "
609,Death to Smoochy,(2002),R,6.4,38        ,38727,"8,355,815",109 min,"
Comedy, Crime, Drama            "
610,Devdas,(I) (2002),Not Rated,7.6,No Metascore found,38429,"3,500,000",185 min,"
Drama, Musical, Romance            "
611,Crossroads,(I) (2002),PG-13,3.5,27        ,38371,"37,191,304",93 min,"
Comedy, Drama, Romance            "
612,Narc,(2002),R,7.1,70        ,38351,"10,460,089",105 min,"
Crime, Drama, Mystery            "
613,Halloween: Resurrection,(2002),R,4.0,19        ,37890,"30,354,442",94 min,"
Horror, Thriller            "
614,Spun,(2002),R,6.8,41        ,36845,"410,241",101 min,"
Comedy, Crime, Drama            "
615,Dragonfly,(2002),PG-13,6.1,25        ,36699,"30,063,805",104 min,"
Drama, Fantasy, Mystery            "
616,Spider,(2002),R,6.8,83        ,35672,"1,641,788",98 min,"
Drama, Mystery, Thriller            "
617,Big Fat Liar,(2002),PG,5.4,36        ,35118,"47,811,275",88 min,"
Adventure, Comedy, Family            "
618,Femme Fatale,(2002),R,6.2,59        ,33795,"6,592,103",114 min,"
Crime, Drama, Mystery            "
619,The New Guy,(2002),PG-13,5.9,24        ,33722,"28,972,187",88 min,"
Comedy            "
620,Undercover Brother,(2002),PG-13,5.8,69        ,33406,"38,230,435",86 min,"
Action, Comedy            "
621,24 Hour Party People,(2002),R,7.3,85        ,33294,"1,130,379",117 min,"
Biography, Comedy, Drama            "
622,May,(2002),R,6.6,58        ,33178,"150,277",93 min,"
Comedy, Drama, Horror            "
623,Antwone Fisher,(2002),PG-13,7.3,62        ,33012,"21,078,145",120 min,"
Biography, Drama            "
624,Drumline,(2002),PG-13,5.9,63        ,32956,"56,399,184",118 min,"
Comedy, Drama, Romance            "
625,The Four Feathers,(2002),PG-13,6.5,49        ,32617,"18,306,166",132 min,"
Action, Adventure, Drama            "
626,The Rookie,(2002),G,6.9,72        ,32372,"75,600,072",127 min,"
Drama, Family, Sport            "
627,Igby Goes Down,(2002),R,6.9,72        ,32017,"4,681,503",98 min,"
Comedy, Drama            "
628,Boat Trip,(2002),R,4.9,18        ,30307,"8,586,376",94 min,"
Comedy            "
629,Dark Water,(2002),PG-13,6.7,No Metascore found,30098,,101 min,"
Drama, Horror, Mystery            "
630,Blue Crush,(2002),PG-13,5.7,61        ,30081,"40,390,647",104 min,"
Drama, Romance, Sport            "
631,Cypher,(2002),R,6.8,No Metascore found,30070,,95 min,"
Mystery, Sci-Fi, Thriller            "
632,Interstate 60: Episodes of the Road,(2002),R,7.7,No Metascore found,30001,,116 min,"
Adventure, Comedy, Drama            "
633,White Oleander,(2002),PG-13,7.1,61        ,29665,"16,346,122",109 min,"
Drama            "
634,Barbershop,(2002),PG-13,6.3,66        ,29579,"75,782,105",102 min,"
Comedy, Drama            "
635,The Salton Sea,(2002),R,7.1,41        ,29541,"764,554",103 min,"
Crime, Drama, Mystery            "
636,8 Women,(2002),R,7.1,64        ,29290,"3,076,425",111 min,"
Comedy, Crime, Musical            "
637,Undisputed,(2002),R,6.2,58        ,29000,"12,398,628",94 min,"
Action, Crime, Drama            "
638,Ken Park,(2002),Not Rated,5.9,No Metascore found,28760,,93 min,"
Drama            "
639,The Eye,(2002),R,6.7,66        ,27931,"503,714",99 min,"
Drama, Horror, Mystery            "
640,Rabbit-Proof Fence,(2002),PG,7.4,80        ,27428,"6,165,429",94 min,"
Adventure, Biography, Drama            "
641,The Quiet American,(2002),R,7.0,84        ,27193,"12,987,647",101 min,"
Drama, Romance, Thriller            "
642,The Magdalene Sisters,(2002),R,7.7,83        ,25939,"4,890,878",114 min,"
Drama            "
643,Hollywood Ending,(2002),PG-13,6.6,46        ,25835,"4,839,383",112 min,"
Comedy, Romance            "
644,Rollerball,(2002),PG-13,3.1,14        ,25774,"18,990,798",98 min,"
Action, Sci-Fi, Sport            "
645,Friday After Next,(2002),R,5.8,35        ,25622,"32,983,713",85 min,"
Comedy, Drama            "
646,Snow Dogs,(2002),PG,5.2,29        ,25361,"81,172,560",99 min,"
Adventure, Comedy, Family            "
647,The Adventures of Pluto Nash,(2002),PG-13,3.8,12        ,24533,"4,420,080",95 min,"
Action, Comedy, Sci-Fi            "
648,Eye See You,(2002),R,5.3,No Metascore found,24449,"79,161",96 min,"
Crime, Thriller            "
649,City by the Sea,(2002),R,6.1,50        ,24188,"22,433,915",108 min,"
Crime, Drama, Mystery            "
650,Bloody Sunday,(2002),R,7.6,90        ,23380,"768,045",107 min,"
Drama, History, War            "
651,Heaven,(I) (2002),R,7.0,68        ,23286,"774,317",97 min,"
Crime, Drama, Romance            "
652,Life or Something Like It,(2002),PG-13,5.8,31        ,23169,"14,448,589",103 min,"
Comedy, Romance            "
653,Trapped,(I) (2002),R,6.2,42        ,22747,"62,536",106 min,"
Action, Crime, Drama            "
654,The Master of Disguise,(2002),PG,3.4,12        ,22395,"40,363,530",80 min,"
Adventure, Comedy, Family            "
655,The Twilight Samurai,(2002),Can not catch,8.1,82        ,22240,,129 min,"
Drama, History, Romance            "
656,The Importance of Being Earnest,(2002),PG,6.8,60        ,22159,"8,378,141",97 min,"
Comedy, Drama, Romance            "
657,The Man Without a Past,(2002),PG-13,7.7,84        ,22096,"921,547",97 min,"
Comedy, Drama, Romance            "
658,Eight Crazy Nights,(2002),PG-13,5.4,23        ,21750,"23,443,124",76 min,"
Animation, Comedy, Musical            "
659,Tuck Everlasting,(2002),PG,6.6,66        ,21132,"19,158,074",90 min,"
Drama, Family, Fantasy            "
660,Below,(2002),R,6.1,55        ,21036,"605,562",105 min,"
Action, Horror, Mystery            "
661,Dark Blue,(2002),R,6.6,57        ,20546,"9,059,588",118 min,"
Crime, Drama, Thriller            "
662,Feardotcom,(2002),R,3.4,16        ,20251,"13,208,023",101 min,"
Crime, Horror, Thriller            "
663,Big Trouble,(2002),PG-13,6.5,47        ,19685,"7,262,288",85 min,"
Comedy, Crime, Thriller            "
664,Ballistic: Ecks vs. Sever,(2002),R,3.7,19        ,19194,"14,294,842",91 min,"
Action, Crime, Mystery            "
665,Russian Ark,(2002),Not Rated,7.4,86        ,19190,"37,439",99 min,"
Drama, Fantasy, History            "
666,Uzak,(2002),Not Rated,7.6,84        ,19183,"96,293",110 min,"
Drama            "
667,Swimfan,(2002),PG-13,5.1,29        ,19068,"28,563,926",85 min,"
Drama, Thriller            "
668,Like Mike,(2002),PG,5.3,47        ,18995,"51,432,423",99 min,"
Comedy, Family, Fantasy            "
669,Darkness,(2002),PG-13,5.4,15        ,18816,"22,163,442",88 min,"
Horror            "
670,Peter Pan 2: Return to Never Land,(2002),G,5.8,49        ,18529,"48,430,258",72 min,"
Animation, Adventure, Family            "
671,He Loves Me... He Loves Me Not,(2002),PG-13,7.2,63        ,18404,"1,009,827",92 min,"
Romance, Thriller            "
672,Divine Secrets of the Ya-Ya Sisterhood,(2002),PG-13,6.1,48        ,18094,"69,599,016",116 min,"
Drama            "
673,Gerry,(2002),R,6.1,54        ,17887,"236,266",103 min,"
Adventure, Drama, Mystery            "
674,Ripley's Game,(2002),R,6.6,No Metascore found,17303,,110 min,"
Crime, Drama, Mystery            "
675,Killing Me Softly,(2002),R,5.5,No Metascore found,17143,,100 min,"
Drama, Mystery, Romance            "
676,Roger Dodger,(2002),R,6.9,75        ,16874,"1,266,828",106 min,"
Comedy, Drama            "
677,Serving Sara,(2002),PG-13,5.4,18        ,16744,"16,930,185",99 min,"
Comedy, Romance            "
678,The Emperor's Club,(2002),PG-13,6.9,49        ,16531,"14,060,950",109 min,"
Drama            "
679,Laurel Canyon,(2002),R,6.4,61        ,15939,"3,663,356",103 min,"
Drama            "
680,Swept Away,(2002),R,3.6,18        ,15766,"7,876",89 min,"
Comedy, Romance            "
681,Dolls,(2002),Can not catch,7.6,71        ,15724,"4,067",114 min,"
Drama, Romance            "
682,The Legend of Bhagat Singh,(2002),Not Rated,8.1,No Metascore found,14790,,155 min,"
Action, Biography, Drama            "
683,The Guru,(2002),R,5.3,47        ,14790,"3,034,181",94 min,"
Comedy, Music, Romance            "
684,Half Past Dead,(2002),PG-13,4.7,23        ,14662,"15,361,537",98 min,"
Action, Crime, Thriller            "
685,Company,(2002),Not Rated,8.0,No Metascore found,14512,,142 min,"
Action, Crime, Drama            "
686,The Banger Sisters,(2002),R,5.6,48        ,14473,"30,307,416",98 min,"
Comedy, Drama            "
687,Welcome to Collinwood,(2002),R,6.4,61        ,14223,"333,976",86 min,"
Comedy, Crime            "
688,Ararat,(2002),R,6.2,62        ,14024,"1,554,566",115 min,"
Drama, War            "
689,The Wild Thornberrys,(2002),PG,5.6,69        ,14007,"40,108,697",85 min,"
Animation, Adventure, Comedy            "
690,Sorority Boys,(2002),R,5.5,25        ,13781,"10,198,766",93 min,"
Comedy            "
691,Slackers,(2002),R,5.4,12        ,13753,"4,814,244",86 min,"
Comedy, Romance            "
692,Amen.,(2002),Not Rated,7.2,57        ,13502,"274,299",132 min,"
Biography, Crime, Drama            "
693,Moonlight Mile,(2002),PG-13,6.6,59        ,13491,"6,835,856",117 min,"
Drama, Romance            "
694,Clockstoppers,(2002),PG,5.2,40        ,13443,"36,985,501",94 min,"
Action, Adventure, Comedy            "
695,Auto Focus,(2002),R,6.6,66        ,13218,"2,062,066",105 min,"
Biography, Crime, Drama            "
696,Mondays in the Sun,(2002),R,7.6,64        ,13217,"146,402",113 min,"
Comedy, Drama            "
697,The Dangerous Lives of Altar Boys,(2002),R,7.0,69        ,13187,"1,779,284",104 min,"
Comedy, Drama            "
698,Sweet Sixteen,(I) (2002),R,7.4,86        ,13149,"31,538",106 min,"
Crime, Drama            "
699,The Crime of Padre Amaro,(2002),R,6.7,60        ,13096,"5,709,616",118 min,"
Drama, Romance            "
700,Possession,(2002),PG-13,6.3,52        ,12888,"10,103,647",102 min,"
Drama, Mystery, Romance            "
701,All About the Benjamins,(2002),R,5.9,34        ,12602,"25,482,931",95 min,"
Action, Comedy, Crime            "
702,Stealing Harvard,(2002),PG-13,5.2,25        ,12530,"13,973,532",85 min,"
Comedy, Crime            "
703,Philanthropy,(2002),Can not catch,8.5,No Metascore found,12465,,110 min,"
Comedy, Drama            "
704,Bang Bang You're Dead,(2002),R,7.8,No Metascore found,12415,,93 min,"
Crime, Drama, Thriller            "
705,Eyes,(2002),TV-14,7.4,No Metascore found,12336,,165 min,"
Crime, Drama, Thriller            "
706,They,(2002),PG-13,4.8,31        ,12325,"12,840,842",89 min,"
Horror, Mystery, Thriller            "
707,Nicholas Nickleby,(2002),PG,7.1,71        ,11672,"1,587,173",132 min,"
Adventure, Drama, Romance            "
708,My Little Eye,(2002),R,5.5,No Metascore found,11660,,95 min,"
Horror, Mystery, Thriller            "
709,Returner,(2002),R,6.4,36        ,11030,"69,886",116 min,"
Action, Adventure, Sci-Fi            "
710,People I Know,(2002),R,5.5,53        ,10976,"121,972",100 min,"
Crime, Drama            "
711,Paid in Full,(2002),R,7.1,49        ,10698,"3,042,188",97 min,"
Action, Crime, Drama            "
712,Deathwatch,(2002),R,6.0,No Metascore found,10656,,94 min,"
Drama, Horror, War            "
713,The Good Thief,(2002),R,6.5,68        ,10033,"3,517,797",109 min,"
Action, Crime, Drama            "
714,All or Nothing,(2002),R,7.5,72        ,9962,"121,756",128 min,"
Drama            "
715,The Truth About Charlie,(2002),PG-13,4.7,55        ,9934,"5,350,371",104 min,"
Mystery, Thriller            "
716,Poolhall Junkies,(2002),R,6.9,36        ,9628,"562,059",99 min,"
Comedy, Drama, Sport            "
717,Open Hearts,(2002),R,7.5,77        ,9619,"122,308",113 min,"
Drama, Romance            "
718,Dahmer,(2002),R,5.6,63        ,9555,"144,008",101 min,"
Biography, Crime, Drama            "
719,Full Frontal,(2002),R,4.6,45        ,9438,"2,506,446",101 min,"
Comedy, Romance            "
720,Morvern Callar,(2002),R,6.8,78        ,9278,"267,194",97 min,"
Drama            "
721,The Powerpuff Girls Movie,(2002),PG,6.6,65        ,9214,"11,411,644",73 min,"
Animation, Action, Adventure            "
722,Abandon,(2002),PG-13,4.9,36        ,9206,"10,727,683",99 min,"
Drama, Mystery, Romance            "
723,Day of the Wacko,(2002),Not Rated,8.1,No Metascore found,9099,,93 min,"
Comedy, Drama, Romance            "
724,Better Luck Tomorrow,(2002),R,7.0,67        ,9096,"3,802,390",101 min,"
Crime, Drama, Romance            "
725,The Son,(2002),Can not catch,7.6,86        ,9001,"65,571",99 min,"
Drama, Mystery            "
726,Old Men in New Cars: In China They Eat Dogs II,(2002),Not Rated,6.8,No Metascore found,8848,,95 min,"
Action, Comedy, Crime            "
727,Avenging Angelo,(2002),R,5.2,No Metascore found,8721,,97 min,"
Action, Comedy, Crime            "
728,Frozen Stiff,(2002),Can not catch,8.4,No Metascore found,8609,,90 min,"
Comedy, Drama            "
729,Pumpkin,(2002),R,6.1,46        ,8503,"305,690",113 min,"
Comedy, Drama, Romance            "
730,Brown Sugar,(2002),PG-13,6.5,58        ,8481,"27,362,712",109 min,"
Romance, Comedy, Drama            "
731,Oasis,(2002),Can not catch,7.9,79        ,8253,,133 min,"
Drama, Romance            "
732,Pinocchio,(2002),G,4.4,11        ,7759,"3,684,305",108 min,"
Comedy, Family, Fantasy            "
733,Ben & Arthur,(2002),Not Rated,2.3,No Metascore found,7604,,85 min,"
Drama, Romance, Thriller            "
734,Wilbur Wants to Kill Himself,(2002),R,6.8,69        ,7602,"233,053",109 min,"
Comedy, Drama, Romance            "
735,The Gathering,(2002),R,5.6,No Metascore found,7560,,92 min,"
Horror, Thriller            "
736,Awara Paagal Deewana,(2002),Not Rated,6.2,No Metascore found,7551,,158 min,"
Action, Comedy, Crime            "
737,A Peck on the Cheek,(2002),Not Rated,8.4,No Metascore found,7461,,136 min,"
Action, Drama, War            "
738,Love Liza,(2002),R,7.0,58        ,7395,"211,724",90 min,"
Comedy, Drama            "
739,The Cuckoo,(2002),PG-13,7.8,69        ,7306,"243,187",99 min,"
Comedy, Drama, War            "
740,Liberty Stands Still,(2002),R,5.7,No Metascore found,7300,,96 min,"
Action, Drama, Thriller            "
741,So Close,(2002),R,6.7,66        ,7284,"76,584",111 min,"
Action, Crime, Thriller            "
742,Empire,(2002),R,6.0,38        ,7259,"17,504,595",90 min,"
Crime, Drama, Thriller            "
743,Ted Bundy,(2002),R,5.8,37        ,7249,"6,073",99 min,"
Biography, Crime, Drama            "
744,Derailed,(2002),R,4.0,No Metascore found,7245,,89 min,"
Action, Thriller            "
745,Real Women Have Curves,(2002),PG-13,6.8,71        ,7061,"5,844,929",90 min,"
Comedy, Drama            "
746,Naked Weapon,(2002),R,5.5,No Metascore found,7027,,90 min,"
Action, Crime, Drama            "
747,Deuces Wild,(2002),R,5.7,16        ,6993,"6,044,618",96 min,"
Action, Crime, Drama            "
748,Max,(I) (2002),R,6.5,56        ,6986,"527,019",106 min,"
Drama, War            "
749,No Good Deed,(2002),R,5.5,No Metascore found,6968,"181,600",97 min,"
Action, Crime, Drama            "
750,The Lord of the Rings: The Return of the King,(2003),PG-13,8.9,94        ,1643080,"377,845,905",201 min,"
Action, Adventure, Drama            "
751,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),PG-13,8.0,63        ,1015221,"305,413,918",143 min,"
Action, Adventure, Fantasy            "
752,Kill Bill: Vol. 1,(2003),R,8.1,69        ,1000828,"70,099,045",111 min,"
Action, Crime, Drama            "
753,Finding Nemo,(2003),G,8.1,90        ,949730,"380,843,261",100 min,"
Animation, Adventure, Comedy            "
754,The Matrix Reloaded,(2003),R,7.2,62        ,515992,"281,492,479",138 min,"
Action, Sci-Fi            "
755,Oldboy,(2003),R,8.4,77        ,515563,"707,481",120 min,"
Action, Drama, Mystery            "
756,X2: X-Men United,(2003),PG-13,7.4,68        ,511700,"214,949,694",134 min,"
Action, Adventure, Sci-Fi            "
757,The Matrix Revolutions,(2003),R,6.8,47        ,448227,"139,313,948",129 min,"
Action, Sci-Fi            "
758,Love Actually,(2003),R,7.6,55        ,436807,"59,696,144",135 min,"
Comedy, Drama, Romance            "
759,Mystic River,(2003),R,7.9,84        ,419482,"90,135,191",138 min,"
Crime, Drama, Mystery            "
760,Big Fish,(2003),PG-13,8.0,58        ,415261,"66,257,002",125 min,"
Adventure, Drama, Fantasy            "
761,Lost in Translation,(2003),R,7.7,89        ,415165,"44,585,453",102 min,"
Comedy, Drama            "
762,The Last Samurai,(2003),R,7.7,55        ,400104,"111,110,575",154 min,"
Action, Drama            "
763,Terminator 3: Rise of the Machines,(2003),R,6.3,66        ,377430,"150,371,112",109 min,"
Action, Sci-Fi            "
764,Bruce Almighty,(2003),PG-13,6.8,46        ,371716,"242,829,261",101 min,"
Comedy, Fantasy            "
765,The Italian Job,(2003),PG-13,7.0,68        ,342528,"106,128,601",111 min,"
Action, Crime, Thriller            "
